date,tnk_numb,yapa,sio_si,b_one,b_two,b_three,b_four,b_five,b_six,tnk_0-9
2021-09-08,34 - 36 - 08 - 02 - 27 - 23,26,,34,36,8,2,27,23,"02, 08, 23, 27, 34, 36"
2021-09-05,43 - 24 - 33 - 14 - 28 - 12,37,,43,24,33,14,28,12,"12, 14, 24, 28, 33, 43"
2021-09-01,02 - 36 - 11 - 31 - 14 - 20,24,,2,36,11,31,14,20,"02, 11, 14, 20, 31, 36"
2021-08-29,36 - 17 - 06 - 40 - 19 - 25,10,,36,17,6,40,19,25,"06, 17, 19, 25, 36, 40"
2021-08-25,42 - 23 - 32 - 16 - 45 - 19,17,,42,23,32,16,45,19,"16, 19, 23, 32, 42, 45"
2021-08-22,37 - 39 - 15 - 14 - 02 - 04,16,,37,39,15,14,2,4,"02, 04, 14, 15, 37, 39"
2021-08-18,14 - 17 - 15 - 22 - 36 - 28,30,,14,17,15,22,36,28,"14, 15, 17, 22, 28, 36"
2021-08-15,42 - 05 - 02 - 35 - 21 - 45,14,,42,5,2,35,21,45,"02, 05, 21, 35, 42, 45"
2021-08-11,12 - 02 - 10 - 22 - 32 - 23,18,,12,2,10,22,32,23,"02, 10, 12, 22, 23, 32"
2021-08-08,28 - 33 - 40 - 41 - 39 - 26,43,,28,33,40,41,39,26,"26, 28, 33, 39, 40, 41"
2021-08-04,06 - 21 - 33 - 13 - 22 - 29,1,,6,21,33,13,22,29,"06, 13, 21, 22, 29, 33"
2021-08-01,31 - 28 - 13 - 42 - 05 - 12,9,21 - 17,31,28,13,42,5,12,"05, 12, 13, 28, 31, 42"
2021-07-28,44 - 17 - 33 - 35 - 22 - 07,36,42,44,17,33,35,22,7,"07, 17, 22, 33, 35, 44"
2021-07-25,28 - 40 - 26 - 37 - 22 - 01,19,20 - 06,28,40,26,37,22,1,"01, 22, 26, 28, 37, 40"
2021-07-21,08 - 37 - 20 - 05 - 21 - 42,45,36 - 39 - 43,8,37,20,5,21,42,"05, 08, 20, 21, 37, 42"
2021-07-18,04 - 34 - 02 - 16 - 39 - 36,10,,4,34,2,16,39,36,"02, 04, 16, 34, 36, 39"
2021-07-14,11 - 42 - 09 - 01 - 08 - 03,19,,11,42,9,1,8,3,"01, 03, 08, 09, 11, 42"
2021-07-11,14 - 44 - 35 - 23 - 11 - 06,39,,14,44,35,23,11,6,"06, 11, 14, 23, 35, 44"
2021-07-07,05 - 13 - 08 - 22 - 24 - 07,1,,5,13,8,22,24,7,"05, 07, 08, 13, 22, 24"
2021-07-04,27 - 44 - 08 - 20 - 26 - 12,11,,27,44,8,20,26,12,"08, 12, 20, 26, 27, 44"
2021-06-30,40 - 05 - 45 - 02 - 07 - 11,26,,40,5,45,2,7,11,"02, 05, 07, 11, 40, 45"
2021-06-27,31 - 37 - 25 - 45 - 29 - 32,10,,31,37,25,45,29,32,"25, 29, 31, 32, 37, 45"
2021-06-23,35 - 13 - 27 - 16 - 18 - 20,6,,35,13,27,16,18,20,"13, 16, 18, 20, 27, 35"
2021-06-20,16 - 04 - 45 - 07 - 43 - 03,15,,16,4,45,7,43,3,"03, 04, 07, 16, 43, 45"
2021-06-16,13 - 41 - 20 - 45 - 04 - 29,38,,13,41,20,45,4,29,"04, 13, 20, 29, 41, 45"
2021-06-13,16 - 27 - 28 - 39 - 20 - 04,36,,16,27,28,39,20,4,"04, 16, 20, 27, 28, 39"
2021-06-09,44 - 42 - 36 - 20 - 23 - 33,34,,44,42,36,20,23,33,"20, 23, 33, 36, 42, 44"
2021-06-06,39 - 22 - 12 - 04 - 06 - 37,44,,39,22,12,4,6,37,"04, 06, 12, 22, 37, 39"
2021-06-02,44 - 20 - 33 - 14 - 35 - 19,1,,44,20,33,14,35,19,"14, 19, 20, 33, 35, 44"
2021-05-30,42 - 24 - 14 - 25 - 41 - 27,38,,42,24,14,25,41,27,"14, 24, 25, 27, 41, 42"
2021-05-26,19 - 26 - 05 - 42 - 11 - 16,17,,19,26,5,42,11,16,"05, 11, 16, 19, 26, 42"
2021-05-23,42 - 08 - 31 - 10 - 23 - 33,3,,42,8,31,10,23,33,"08, 10, 23, 31, 33, 42"
2021-05-19,31 - 22 - 36 - 09 - 41 - 13,17,,31,22,36,9,41,13,"09, 13, 22, 31, 36, 41"
2021-05-16,05 - 18 - 27 - 25 - 15 - 40,28,,5,18,27,25,15,40,"05, 15, 18, 25, 27, 40"
2021-05-12,14 - 42 - 13 - 15 - 31 - 12,25,,14,42,13,15,31,12,"12, 13, 14, 15, 31, 42"
2021-05-09,43 - 26 - 22 - 44 - 27 - 29,4,,43,26,22,44,27,29,"22, 26, 27, 29, 43, 44"
2021-05-05,38 - 28 - 43 - 06 - 19 - 41,44,,38,28,43,6,19,41,"06, 19, 28, 38, 41, 43"
2021-05-02,21 - 28 - 19 - 43 - 26 - 09,17,,21,28,19,43,26,9,"09, 19, 21, 26, 28, 43"
2021-04-28,09 - 38 - 39 - 21 - 34 - 42,6,,9,38,39,21,34,42,"09, 21, 34, 38, 39, 42"
2021-04-25,33 - 26 - 41 - 23 - 39 - 30,2,,33,26,41,23,39,30,"23, 26, 30, 33, 39, 41"
2021-04-21,16 - 12 - 31 - 24 - 20 - 28,40,,16,12,31,24,20,28,"12, 16, 20, 24, 28, 31"
2021-04-18,28 - 02 - 24 - 21 - 42 - 40,4,,28,2,24,21,42,40,"02, 21, 24, 28, 40, 42"
2021-04-14,35 - 43 - 07 - 39 - 14 - 21,13,,35,43,7,39,14,21,"07, 14, 21, 35, 39, 43"
2021-04-11,13 - 08 - 24 - 33 - 14 - 10,19,,13,8,24,33,14,10,"08, 10, 13, 14, 24, 33"
2021-04-07,31 - 44 - 05 - 42 - 29 - 39,2,,31,44,5,42,29,39,"05, 29, 31, 39, 42, 44"
2021-04-04,04 - 15 - 41 - 31 - 17 - 26,29,,4,15,41,31,17,26,"04, 15, 17, 26, 31, 41"
2021-03-31,09 - 10 - 05 - 01 - 16 - 39,36,,9,10,5,1,16,39,"01, 05, 09, 10, 16, 39"
2021-03-28,14 - 19 - 45 - 27 - 32 - 30,39,,14,19,45,27,32,30,"14, 19, 27, 30, 32, 45"
2021-03-24,27 - 16 - 42 - 29 - 04 - 03,30,,27,16,42,29,4,3,"03, 04, 16, 27, 29, 42"
2021-03-21,16 - 18 - 17 - 32 - 31 - 20,40,,16,18,17,32,31,20,"16, 17, 18, 20, 31, 32"
2021-03-17,28 - 32 - 39 - 19 - 03 - 12,8,,28,32,39,19,3,12,"03, 12, 19, 28, 32, 39"
2021-03-14,34 - 39 - 43 - 29 - 17 - 42,13,,34,39,43,29,17,42,"17, 29, 34, 39, 42, 43"
2021-03-10,10 - 19 - 14 - 28 - 26 - 22,18,,10,19,14,28,26,22,"10, 14, 19, 22, 26, 28"
2021-03-07,09 - 17 - 32 - 02 - 38 - 44,23,,9,17,32,2,38,44,"02, 09, 17, 32, 38, 44"
2021-03-03,17 - 18 - 44 - 19 - 24 - 41,5,,17,18,44,19,24,41,"17, 18, 19, 24, 41, 44"
2021-02-28,45 - 27 - 39 - 21 - 29 - 44,37,,45,27,39,21,29,44,"21, 27, 29, 39, 44, 45"
2021-02-24,25 - 18 - 07 - 35 - 24 - 34,23,,25,18,7,35,24,34,"07, 18, 24, 25, 34, 35"
2021-02-21,14 - 44 - 41 - 17 - 28 - 15,19,,14,44,41,17,28,15,"14, 15, 17, 28, 41, 44"
2021-02-17,37 - 15 - 45 - 33 - 11 - 30,5,,37,15,45,33,11,30,"11, 15, 30, 33, 37, 45"
2021-02-14,34 - 22 - 37 - 11 - 05 - 38,19,,34,22,37,11,5,38,"05, 11, 22, 34, 37, 38"
2021-02-10,16 - 01 - 20 - 13 - 43 - 06,30,,16,1,20,13,43,6,"01, 06, 13, 16, 20, 43"
2021-02-07,27 - 34 - 02 - 25 - 29 - 45,31,,27,34,2,25,29,45,"02, 25, 27, 29, 34, 45"
2021-02-03,43 - 12 - 05 - 03 - 26 - 13,24,,43,12,5,3,26,13,"03, 05, 12, 13, 26, 43"
2021-01-31,36 - 42 - 08 - 30 - 33 - 40,35,,36,42,8,30,33,40,"08, 30, 33, 36, 40, 42"
2021-01-27,22 - 34 - 20 - 13 - 28 - 05,24,,22,34,20,13,28,5,"05, 13, 20, 22, 28, 34"
2021-01-24,01 - 43 - 14 - 21 - 19 - 31,32,,1,43,14,21,19,31,"01, 14, 19, 21, 31, 43"
2021-01-20,30 - 03 - 15 - 29 - 02 - 45,44,,30,3,15,29,2,45,"02, 03, 15, 29, 30, 45"
2021-01-17,24 - 03 - 06 - 20 - 10 - 14,29,,24,3,6,20,10,14,"03, 06, 10, 14, 20, 24"
2021-01-13,44 - 40 - 11 - 43 - 34 - 21,29,,44,40,11,43,34,21,"11, 21, 34, 40, 43, 44"
2021-01-09,44 - 21 - 45 - 35 - 40 - 29,8,,44,21,45,35,40,29,"21, 29, 35, 40, 44, 45"
2021-01-06,11 - 25 - 24 - 13 - 01 - 20,17,,11,25,24,13,1,20,"01, 11, 13, 20, 24, 25"
2021-01-02,07 - 41 - 09 - 16 - 32 - 15,29,,7,41,9,16,32,15,"07, 09, 15, 16, 32, 41"
2020-12-30,43 - 36 - 35 - 18 - 06 - 19,33,,43,36,35,18,6,19,"06, 18, 19, 35, 36, 43"
2020-12-26,38 - 18 - 34 - 08 - 37 - 36,5,,38,18,34,8,37,36,"08, 18, 34, 36, 37, 38"
2020-12-23,33 - 32 - 18 - 27 - 10 - 31,43,,33,32,18,27,10,31,"10, 18, 27, 31, 32, 33"
2020-12-19,18 - 45 - 24 - 15 - 32 - 03,16,,18,45,24,15,32,3,"03, 15, 18, 24, 32, 45"
2020-12-16,15 - 43 - 42 - 38 - 07 - 34,14,,15,43,42,38,7,34,"07, 15, 34, 38, 42, 43"
2020-12-12,34 - 24 - 25 - 02 - 23 - 13,18,,34,24,25,2,23,13,"02, 13, 23, 24, 25, 34"
2020-12-09,07 - 10 - 30 - 31 - 27 - 15,5,,7,10,30,31,27,15,"07, 10, 15, 27, 30, 31"
2020-12-05,24 - 08 - 18 - 34 - 02 - 39,1,,24,8,18,34,2,39,"02, 08, 18, 24, 34, 39"
2020-12-02,02 - 23 - 27 - 07 - 15 - 10,1,,2,23,27,7,15,10,"02, 07, 10, 15, 23, 27"
2020-11-28,43 - 02 - 38 - 24 - 06 - 01,7,,43,2,38,24,6,1,"01, 02, 06, 24, 38, 43"
2020-11-25,45 - 34 - 15 - 16 - 02 - 25,19,,45,34,15,16,2,25,"02, 15, 16, 25, 34, 45"
2020-11-21,04 - 37 - 16 - 43 - 31 - 02,23,,4,37,16,43,31,2,"02, 04, 16, 31, 37, 43"
2020-11-18,26 - 45 - 09 - 12 - 08 - 43,31,,26,45,9,12,8,43,"08, 09, 12, 26, 43, 45"
2020-11-14,15 - 22 - 25 - 13 - 18 - 12,30,,15,22,25,13,18,12,"12, 13, 15, 18, 22, 25"
2020-11-11,17 - 10 - 21 - 12 - 35 - 31,4,,17,10,21,12,35,31,"10, 12, 17, 21, 31, 35"
2020-11-07,02 - 09 - 15 - 25 - 35 - 10,14,,2,9,15,25,35,10,"02, 09, 10, 15, 25, 35"
2020-11-04,12 - 38 - 20 - 37 - 19 - 15,9,,12,38,20,37,19,15,"12, 15, 19, 20, 37, 38"
2020-10-31,28 - 38 - 43 - 23 - 04 - 02,9,,28,38,43,23,4,2,"02, 04, 23, 28, 38, 43"
2020-10-28,18 - 40 - 29 - 03 - 38 - 21,20,,18,40,29,3,38,21,"03, 18, 21, 29, 38, 40"
2020-10-24,23 - 03 - 37 - 16 - 05 - 25,33,,23,3,37,16,5,25,"03, 05, 16, 23, 25, 37"
2020-10-21,05 - 25 - 15 - 29 - 24 - 22,6,,5,25,15,29,24,22,"05, 15, 22, 24, 25, 29"
2020-10-17,23 - 30 - 05 - 35 - 11 - 39,16,,23,30,5,35,11,39,"05, 11, 23, 30, 35, 39"
2020-10-14,39 - 23 - 01 - 20 - 11 - 29,7,,39,23,1,20,11,29,"01, 11, 20, 23, 29, 39"
2020-10-10,31 - 38 - 09 - 34 - 26 - 17,2,,31,38,9,34,26,17,"09, 17, 26, 31, 34, 38"
2020-10-07,11 - 17 - 29 - 33 - 21 - 09,35,,11,17,29,33,21,9,"09, 11, 17, 21, 29, 33"
2020-10-03,38 - 23 - 26 - 20 - 06 - 13,24,,38,23,26,20,6,13,"06, 13, 20, 23, 26, 38"
2020-09-30,10 - 29 - 03 - 13 - 14 - 04,15,,10,29,3,13,14,4,"03, 04, 10, 13, 14, 29"
2020-09-26,19 - 37 - 12 - 40 - 18 - 27,14,,19,37,12,40,18,27,"12, 18, 19, 27, 37, 40"
2020-09-23,24 - 42 - 26 - 16 - 12 - 35,28,,24,42,26,16,12,35,"12, 16, 24, 26, 35, 42"
2020-09-19,15 - 45 - 07 - 21 - 32 - 33,10,,15,45,7,21,32,33,"07, 15, 21, 32, 33, 45"
2020-09-16,08 - 20 - 17 - 40 - 01 - 27,3,,8,20,17,40,1,27,"01, 08, 17, 20, 27, 40"
2020-09-12,39 - 24 - 17 - 06 - 14 - 19,2,,39,24,17,6,14,19,"06, 14, 17, 19, 24, 39"
2020-09-09,05 - 26 - 08 - 24 - 30 - 17,39,,5,26,8,24,30,17,"05, 08, 17, 24, 26, 30"
2020-09-05,25 - 15 - 03 - 21 - 22 - 08,40,,25,15,3,21,22,8,"03, 08, 15, 21, 22, 25"
2020-09-02,42 - 32 - 11 - 19 - 14 - 12,1,,42,32,11,19,14,12,"11, 12, 14, 19, 32, 42"
2020-08-29,12 - 22 - 44 - 05 - 25 - 33,4,,12,22,44,5,25,33,"05, 12, 22, 25, 33, 44"
2020-08-26,43 - 38 - 34 - 23 - 12 - 11,26,,43,38,34,23,12,11,"11, 12, 23, 34, 38, 43"
2020-08-22,16 - 21 - 40 - 30 - 08 - 14,38,,16,21,40,30,8,14,"08, 14, 16, 21, 30, 40"
2020-08-15,26 - 07 - 05 - 41 - 01 - 11,21,,26,7,5,41,1,11,"01, 05, 07, 11, 26, 41"
2020-08-08,37 - 34 - 21 - 20 - 35 - 09,7,,37,34,21,20,35,9,"09, 20, 21, 34, 35, 37"
2020-08-01,08 - 42 - 29 - 31 - 07 - 05,41,,8,42,29,31,7,5,"05, 07, 08, 29, 31, 42"
2020-07-25,45 - 25 - 31 - 04 - 44 - 36,21,,45,25,31,4,44,36,"04, 25, 31, 36, 44, 45"
2020-07-18,32 - 45 - 22 - 16 - 05 - 29,44,,32,45,22,16,5,29,"05, 16, 22, 29, 32, 45"
2020-07-11,11 - 36 - 45 - 17 - 15 - 30,5,,11,36,45,17,15,30,"11, 15, 17, 30, 36, 45"
2020-07-04,45 - 14 - 10 - 01 - 29 - 43,3,,45,14,10,1,29,43,"01, 10, 14, 29, 43, 45"
2020-06-27,34 - 20 - 02 - 36 - 31 - 13,37,,34,20,2,36,31,13,"02, 13, 20, 31, 34, 36"
2020-06-20,38 - 29 - 39 - 06 - 17 - 42,11,,38,29,39,6,17,42,"06, 17, 29, 38, 39, 42"
2020-06-13,37 - 01 - 30 - 21 - 36 - 05,24,,37,1,30,21,36,5,"01, 05, 21, 30, 36, 37"
2020-06-06,19 - 32 - 03 - 21 - 15 - 31,40,,19,32,3,21,15,31,"03, 15, 19, 21, 31, 32"
2020-05-30,36 - 24 - 17 - 42 - 26 - 33,4,44,36,24,17,42,26,33,"17, 24, 26, 33, 36, 42"
2020-03-15,29 - 26 - 07 - 23 - 20 - 24,14,,29,26,7,23,20,24,"07, 20, 23, 24, 26, 29"
2020-03-11,32 - 34 - 18 - 17 - 13 - 31,39,,32,34,18,17,13,31,"13, 17, 18, 31, 32, 34"
2020-03-08,35 - 23 - 08 - 21 - 33 - 41,26,,35,23,8,21,33,41,"08, 21, 23, 33, 35, 41"
2020-03-04,30 - 19 - 21 - 09 - 43 - 12,31,,30,19,21,9,43,12,"09, 12, 19, 21, 30, 43"
2020-03-01,08 - 06 - 27 - 09 - 33 - 26,17,,8,6,27,9,33,26,"06, 08, 09, 26, 27, 33"
2020-02-26,35 - 42 - 15 - 37 - 08 - 38,41,,35,42,15,37,8,38,"08, 15, 35, 37, 38, 42"
2020-02-23,44 - 28 - 04 - 05 - 17 - 11,30,,44,28,4,5,17,11,"04, 05, 11, 17, 28, 44"
2020-02-19,06 - 17 - 24 - 35 - 44 - 41,23,,6,17,24,35,44,41,"06, 17, 24, 35, 41, 44"
2020-02-16,30 - 20 - 35 - 01 - 02 - 28,4,,30,20,35,1,2,28,"01, 02, 20, 28, 30, 35"
2020-02-12,33 - 25 - 29 - 09 - 27 - 26,8,,33,25,29,9,27,26,"09, 25, 26, 27, 29, 33"
2020-02-09,35 - 28 - 19 - 16 - 37 - 21,9,,35,28,19,16,37,21,"16, 19, 21, 28, 35, 37"
2020-02-05,38 - 01 - 37 - 36 - 19 - 34,9,,38,1,37,36,19,34,"01, 19, 34, 36, 37, 38"
2020-02-02,04 - 24 - 29 - 42 - 15 - 37,22,,4,24,29,42,15,37,"04, 15, 24, 29, 37, 42"
2020-01-29,41 - 31 - 08 - 43 - 06 - 45,21,,41,31,8,43,6,45,"06, 08, 31, 41, 43, 45"
2020-01-26,20 - 06 - 35 - 25 - 12 - 01,41,,20,6,35,25,12,1,"01, 06, 12, 20, 25, 35"
2020-01-22,11 - 34 - 40 - 35 - 42 - 05,9,,11,34,40,35,42,5,"05, 11, 34, 35, 40, 42"
2020-01-19,06 - 02 - 12 - 18 - 23 - 09,1,,6,2,12,18,23,9,"02, 06, 09, 12, 18, 23"
2020-01-15,45 - 17 - 30 - 18 - 04 - 26,32,,45,17,30,18,4,26,"04, 17, 18, 26, 30, 45"
2020-01-12,14 - 35 - 38 - 18 - 34 - 43,27,,14,35,38,18,34,43,"14, 18, 34, 35, 38, 43"
2020-01-08,13 - 25 - 01 - 42 - 29 - 15,7,,13,25,1,42,29,15,"01, 13, 15, 25, 29, 42"
2020-01-05,01 - 30 - 19 - 05 - 26 - 04,6,,1,30,19,5,26,4,"01, 04, 05, 19, 26, 30"
2020-01-01,25 - 24 - 09 - 13 - 27 - 34,36,,25,24,9,13,27,34,"09, 13, 24, 25, 27, 34"
2019-12-29,16 - 08 - 32 - 31 - 34 - 26,9,,16,8,32,31,34,26,"08, 16, 26, 31, 32, 34"
2019-12-25,39 - 33 - 34 - 14 - 13 - 10,25,,39,33,34,14,13,10,"10, 13, 14, 33, 34, 39"
2019-12-22,24 - 35 - 17 - 11 - 44 - 23,25,,24,35,17,11,44,23,"11, 17, 23, 24, 35, 44"
2019-12-18,13 - 30 - 28 - 04 - 39 - 02,25,,13,30,28,4,39,2,"02, 04, 13, 28, 30, 39"
2019-12-15,21 - 26 - 15 - 02 - 39 - 38,12,,21,26,15,2,39,38,"02, 15, 21, 26, 38, 39"
2019-12-11,34 - 20 - 19 - 02 - 04 - 44,39,,34,20,19,2,4,44,"02, 04, 19, 20, 34, 44"
2019-12-08,39 - 20 - 07 - 36 - 44 - 37,38,,39,20,7,36,44,37,"07, 20, 36, 37, 39, 44"
2019-12-04,29 - 33 - 31 - 10 - 03 - 44,32,,29,33,31,10,3,44,"03, 10, 29, 31, 33, 44"
2019-12-01,01 - 11 - 32 - 04 - 15 - 23,9,,1,11,32,4,15,23,"01, 04, 11, 15, 23, 32"
2019-11-27,24 - 07 - 23 - 15 - 39 - 45,19,,24,7,23,15,39,45,"07, 15, 23, 24, 39, 45"
2019-11-24,26 - 01 - 08 - 14 - 29 - 18,23,,26,1,8,14,29,18,"01, 08, 14, 18, 26, 29"
2019-11-20,45 - 19 - 40 - 39 - 15 - 35,22,,45,19,40,39,15,35,"15, 19, 35, 39, 40, 45"
2019-11-17,01 - 08 - 44 - 40 - 36 - 12,17,,1,8,44,40,36,12,"01, 08, 12, 36, 40, 44"
2019-11-13,36 - 17 - 28 - 40 - 32 - 15,30,,36,17,28,40,32,15,"15, 17, 28, 32, 36, 40"
2019-11-10,28 - 34 - 09 - 27 - 41 - 13,7,,28,34,9,27,41,13,"09, 13, 27, 28, 34, 41"
2019-11-06,37 - 33 - 20 - 31 - 29 - 27,41,,37,33,20,31,29,27,"20, 27, 29, 31, 33, 37"
2019-11-03,16 - 38 - 07 - 06 - 14 - 01,42,,16,38,7,6,14,1,"01, 06, 07, 14, 16, 38"
2019-10-30,24 - 09 - 28 - 17 - 33 - 29,22,27 - 12,24,9,28,17,33,29,"09, 17, 24, 28, 29, 33"
2019-10-27,12 - 29 - 41 - 24 - 36 - 40,3,06 - 37 - 23 - 44,12,29,41,24,36,40,"12, 24, 29, 36, 40, 41"
2019-10-23,25 - 19 - 31 - 29 - 33 - 15,41,32 - 44 - 02,25,19,31,29,33,15,"15, 19, 25, 29, 31, 33"
2019-10-20,29 - 37 - 38 - 30 - 10 - 04,5,18,29,37,38,30,10,4,"04, 10, 29, 30, 37, 38"
2019-10-16,25 - 05 - 21 - 35 - 13 - 40,22,,25,5,21,35,13,40,"05, 13, 21, 25, 35, 40"
2019-10-13,10 - 14 - 02 - 36 - 37 - 44,41,42 - 12,10,14,2,36,37,44,"02, 10, 14, 36, 37, 44"
2019-10-09,26 - 02 - 07 - 41 - 19 - 03,34,35,26,2,7,41,19,3,"02, 03, 07, 19, 26, 41"
2019-10-06,01 - 12 - 17 - 20 - 27 - 03,32,29,1,12,17,20,27,3,"01, 03, 12, 17, 20, 27"
2019-10-02,28 - 13 - 04 - 09 - 43 - 44,29,27 - 40,28,13,4,9,43,44,"04, 09, 13, 28, 43, 44"
2019-09-29,26 - 14 - 13 - 02 - 43 - 32,10,,26,14,13,2,43,32,"02, 13, 14, 26, 32, 43"
2019-09-25,28 - 30 - 34 - 04 - 16 - 40,32,,28,30,34,4,16,40,"04, 16, 28, 30, 34, 40"
2019-09-22,03 - 09 - 19 - 08 - 17 - 02,27,,3,9,19,8,17,2,"02, 03, 08, 09, 17, 19"
2019-09-18,38 - 36 - 07 - 08 - 11 - 23,41,,38,36,7,8,11,23,"07, 08, 11, 23, 36, 38"
2019-09-15,40 - 29 - 31 - 41 - 08 - 12,37,,40,29,31,41,8,12,"08, 12, 29, 31, 40, 41"
2019-09-11,14 - 31 - 09 - 08 - 27 - 36,22,,14,31,9,8,27,36,"08, 09, 14, 27, 31, 36"
2019-09-08,06 - 25 - 09 - 13 - 15 - 10,4,,6,25,9,13,15,10,"06, 09, 10, 13, 15, 25"
2019-09-04,45 - 41 - 23 - 24 - 10 - 28,8,,45,41,23,24,10,28,"10, 23, 24, 28, 41, 45"
2019-09-01,28 - 43 - 41 - 32 - 44 - 45,18,,28,43,41,32,44,45,"28, 32, 41, 43, 44, 45"
2019-08-28,03 - 29 - 26 - 06 - 41 - 44,7,,3,29,26,6,41,44,"03, 06, 26, 29, 41, 44"
2019-08-25,37 - 22 - 07 - 13 - 35 - 40,19,,37,22,7,13,35,40,"07, 13, 22, 35, 37, 40"
2019-08-21,44 - 28 - 45 - 27 - 36 - 25,18,,44,28,45,27,36,25,"25, 27, 28, 36, 44, 45"
2019-08-18,06 - 08 - 17 - 15 - 22 - 03,20,,6,8,17,15,22,3,"03, 06, 08, 15, 17, 22"
2019-08-14,01 - 15 - 41 - 08 - 14 - 03,6,,1,15,41,8,14,3,"01, 03, 08, 14, 15, 41"
2019-08-11,30 - 12 - 35 - 41 - 04 - 21,36,,30,12,35,41,4,21,"04, 12, 21, 30, 35, 41"
2019-08-07,30 - 02 - 26 - 05 - 12 - 27,32,,30,2,26,5,12,27,"02, 05, 12, 26, 27, 30"
2019-08-04,34 - 32 - 23 - 11 - 31 - 39,27,,34,32,23,11,31,39,"11, 23, 31, 32, 34, 39"
2019-07-31,09 - 24 - 07 - 29 - 45 - 35,13,,9,24,7,29,45,35,"07, 09, 24, 29, 35, 45"
2019-07-28,24 - 32 - 15 - 18 - 28 - 23,37,,24,32,15,18,28,23,"15, 18, 23, 24, 28, 32"
2019-07-24,27 - 05 - 40 - 38 - 20 - 15,36,,27,5,40,38,20,15,"05, 15, 20, 27, 38, 40"
2019-07-21,26 - 41 - 37 - 17 - 28 - 08,18,,26,41,37,17,28,8,"08, 17, 26, 28, 37, 41"
2019-07-17,22 - 07 - 33 - 40 - 34 - 09,32,,22,7,33,40,34,9,"07, 09, 22, 33, 34, 40"
2019-07-14,16 - 18 - 14 - 08 - 28 - 35,37,,16,18,14,8,28,35,"08, 14, 16, 18, 28, 35"
2019-07-10,38 - 20 - 27 - 31 - 22 - 39,19,,38,20,27,31,22,39,"20, 22, 27, 31, 38, 39"
2019-07-07,32 - 37 - 14 - 39 - 05 - 25,28,,32,37,14,39,5,25,"05, 14, 25, 32, 37, 39"
2019-07-03,21 - 36 - 22 - 09 - 23 - 15,27,,21,36,22,9,23,15,"09, 15, 21, 22, 23, 36"
2019-06-30,07 - 19 - 08 - 12 - 26 - 42,20,,7,19,8,12,26,42,"07, 08, 12, 19, 26, 42"
2019-06-26,35 - 28 - 22 - 25 - 40 - 34,15,,35,28,22,25,40,34,"22, 25, 28, 34, 35, 40"
2019-06-23,01 - 07 - 14 - 25 - 24 - 22,27,,1,7,14,25,24,22,"01, 07, 14, 22, 24, 25"
2019-06-19,33 - 13 - 11 - 27 - 30 - 21,36,,33,13,11,27,30,21,"11, 13, 21, 27, 30, 33"
2019-06-16,12 - 11 - 28 - 09 - 45 - 15,4,,12,11,28,9,45,15,"09, 11, 12, 15, 28, 45"
2019-06-12,06 - 28 - 44 - 27 - 23 - 16,24,,6,28,44,27,23,16,"06, 16, 23, 27, 28, 44"
2019-06-09,11 - 26 - 41 - 02 - 23 - 03,40,,11,26,41,2,23,3,"02, 03, 11, 23, 26, 41"
2019-06-05,45 - 42 - 32 - 41 - 15 - 40,5,,45,42,32,41,15,40,"15, 32, 40, 41, 42, 45"
2019-06-02,19 - 42 - 11 - 31 - 09 - 03,35,,19,42,11,31,9,3,"03, 09, 11, 19, 31, 42"
2019-05-29,16 - 13 - 37 - 03 - 27 - 24,23,,16,13,37,3,27,24,"03, 13, 16, 24, 27, 37"
2019-05-26,33 - 04 - 01 - 36 - 12 - 27,16,,33,4,1,36,12,27,"01, 04, 12, 27, 33, 36"
2019-05-22,18 - 34 - 11 - 10 - 16 - 44,4,,18,34,11,10,16,44,"10, 11, 16, 18, 34, 44"
2019-05-19,04 - 02 - 20 - 03 - 13 - 19,6,,4,2,20,3,13,19,"02, 03, 04, 13, 19, 20"
2019-05-15,31 - 29 - 30 - 38 - 40 - 01,32,,31,29,30,38,40,1,"01, 29, 30, 31, 38, 40"
2019-05-12,44 - 16 - 37 - 20 - 14 - 32,15,,44,16,37,20,14,32,"14, 16, 20, 32, 37, 44"
2019-05-08,32 - 10 - 35 - 21 - 45 - 12,19,,32,10,35,21,45,12,"10, 12, 21, 32, 35, 45"
2019-05-05,05 - 10 - 25 - 07 - 41 - 08,21,,5,10,25,7,41,8,"05, 07, 08, 10, 25, 41"
2019-05-01,38 - 03 - 42 - 10 - 23 - 34,32,,38,3,42,10,23,34,"03, 10, 23, 34, 38, 42"
2019-04-28,14 - 19 - 34 - 33 - 20 - 35,9,,14,19,34,33,20,35,"14, 19, 20, 33, 34, 35"
2019-04-24,38 - 25 - 08 - 17 - 36 - 43,34,,38,25,8,17,36,43,"08, 17, 25, 36, 38, 43"
2019-04-21,36 - 09 - 14 - 07 - 11 - 26,34,,36,9,14,7,11,26,"07, 09, 11, 14, 26, 36"
2019-04-17,34 - 21 - 23 - 26 - 18 - 16,44,,34,21,23,26,18,16,"16, 18, 21, 23, 26, 34"
2019-04-14,05 - 36 - 29 - 13 - 08 - 24,22,,5,36,29,13,8,24,"05, 08, 13, 24, 29, 36"
2019-04-10,31 - 45 - 41 - 13 - 43 - 04,3,,31,45,41,13,43,4,"04, 13, 31, 41, 43, 45"
